,,,,Marketwise Price & Arrival Report (08-09-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 08 Sep, 2026","Price on 07 Sep, 2026","Price on 06 Sep, 2026","Arrival on 08 Sep, 2026","Arrival on 07 Sep, 2026","Arrival on 06 Sep, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2900.00,2200.52,2341.55,2143.39,1734.04,982.54,443.60
Cereals,Barley(Jau),2150.00,2339.35,2483.22,2283.97,88.34,201.28,116.47
Cereals,Jowar(Sorghum),4023.00,4955.22,4357.62,2264.28,164.50,233.75,47.80
Cereals,Maize,2410.00,2148.75,2135.18,2214.87,17749.79,12744.50,8772.84
Cereals,Paddy(Common),2441.00,2753.03,2595.27,2509.74,11671.08,7872.74,3681.76
Cereals,Ragi(Finger Millet),5205.00,3544.40,4158.75,-,95.30,75.40,-
Cereals,Wheat,2585.00,2672.60,2676.44,2536.24,47467.70,43713.36,13730.68
Fibre Crops,Cotton,8267.00,8564.40,8100.77,7735.01,1288.36,1481.23,200.19
Oil Seeds,Copra,12100.00,20678.30,16171.10,20764.71,99.75,135.50,17.00
Oil Seeds,Groundnut,7517.00,6967.62,6730.15,6747.82,681.84,1747.77,268.46
Oil Seeds,Mustard,6200.00,7398.09,7568.70,7030.42,2368.37,1789.76,517.03
Oil Seeds,Niger Seed(Ramtil),10052.00,-,11000.00,-,-,23.70,-
Oil Seeds,Safflower,6540.00,5016.65,6900.00,-,6.60,0.20,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",10346.00,11426.33,11267.97,15240.00,238.37,168.82,4.02
Oil Seeds,Soyabean,5708.00,5797.44,5675.88,5499.98,4175.63,4465.46,289.82
Oil Seeds,Sunflower/Sunflower Seed,8343.00,7568.24,7887.81,7851.00,178.70,107.73,101.90
Pulses,Bengal Gram(Gram)(Whole),5875.00,6347.01,6193.48,6065.75,3378.77,2960.02,197.43
Pulses,Black Gram(Urd Beans)(Whole),8200.00,8725.45,8584.97,7921.08,978.43,1246.78,358.88
Pulses,Green Gram(Moong)(Whole),8780.00,8156.59,7479.39,7569.42,6190.30,8292.12,1984.32
Pulses,Lentil(Masur)(Whole),7000.00,7572.50,7873.44,8670.00,635.53,614.87,5.00
Pulses,Red gram/Arhar/Tur(whole),8450.00,8077.15,8281.17,8716.93,2731.51,1888.28,908.40
Vegetables,Onion,-,3625.68,3562.83,3565.33,16293.77,22439.98,3539.88
Vegetables,Potato,-,672.86,990.08,617.78,36234.66,37313.81,26703.57
Vegetables,Tomato,-,2009.90,2010.89,1618.87,8900.58,7100.51,4189.06

