S.No,Year,Month,State,Occupation,Item,Men,Women
1,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Ploughing/Tilling workers",691.65,@
2,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",613.3099999999999,443.87
3,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",623.74,423.16
4,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",456.9,422.82
5,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",583.36,444.95
6,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-inland
",@,-
7,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
8,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Loggers and wood cutters
",631.14,-
9,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
10,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
11,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",599.4400000000001,433.71
12,2025-2026,Jan,"ANDHRA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",896.83,-
13,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
14,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Loggers and wood cutters
",517.02,-
15,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",344.62,@
16,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
17,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",465.76,339.80
18,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",706.52,@
19,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Ploughing/Tilling workers",642.48,@
20,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",536.60,414.69
21,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",553.91,416.01
22,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",452.73,386.34
23,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",@,316.00
24,2024-2025,Jan,"ANDHRA PRADESH",Agriculture,"Fishermen-inland
",@,@
25,2024-2025,Jan,ASSAM,Agriculture,"Ploughing/Tilling workers",452.72,@
26,2024-2025,Jan,ASSAM,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",420.56,338.52
27,2024-2025,Jan,ASSAM,Agriculture,"Harvesting/Winnowing/Threshing workers
",408.04,332.78
28,2024-2025,Jan,ASSAM,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
29,2024-2025,Jan,ASSAM,Agriculture,"Horticulture workers (including nursery growers)
",-,342.22
30,2024-2025,Jan,ASSAM,Agriculture,"Fishermen-inland
",-,-
31,2024-2025,Jan,ASSAM,Agriculture,"Fishermen-coastal/deep-sea
",-,-
32,2024-2025,Jan,ASSAM,Agriculture,"Loggers and wood cutters
",383.00,-
33,2024-2025,Jan,ASSAM,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",298.33,-
34,2024-2025,Jan,ASSAM,Agriculture,"Packaging labourers, agriculture
",374.00,@
35,2024-2025,Jan,ASSAM,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",397.89,356.67
36,2024-2025,Jan,ASSAM,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",@,@
37,2025-2026,Jan,ASSAM,Agriculture,"Ploughing/Tilling workers",513.53,@
38,2025-2026,Jan,ASSAM,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",412.4,374.29
39,2025-2026,Jan,ASSAM,Agriculture,"Harvesting/Winnowing/Threshing workers
",462.13,387.18
40,2025-2026,Jan,ASSAM,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
41,2025-2026,Jan,ASSAM,Agriculture,"Horticulture workers (including nursery growers)
",436.01,340
42,2025-2026,Jan,ASSAM,Agriculture,"Fishermen-inland
",517.62,-
43,2025-2026,Jan,ASSAM,Agriculture,"Fishermen-coastal/deep-sea
",-,-
44,2025-2026,Jan,ASSAM,Agriculture,"Loggers and wood cutters
",468.79,-
45,2025-2026,Jan,ASSAM,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",446.09,473
46,2025-2026,Jan,ASSAM,Agriculture,"Packaging labourers, agriculture
",@,@
47,2025-2026,Jan,ASSAM,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",403.56,360.63
48,2025-2026,Jan,ASSAM,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",437.29,@
49,2025-2026,Jan,BIHAR,Agriculture,"Ploughing/Tilling workers",439.66,320
50,2025-2026,Jan,BIHAR,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",396.4,338.37
51,2025-2026,Jan,BIHAR,Agriculture,"Harvesting/Winnowing/Threshing workers
",390.72,336.33
52,2025-2026,Jan,BIHAR,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
53,2025-2026,Jan,BIHAR,Agriculture,"Horticulture workers (including nursery growers)
",344.44,291.67
54,2025-2026,Jan,BIHAR,Agriculture,"Fishermen-inland
",450,-
55,2025-2026,Jan,BIHAR,Agriculture,"Fishermen-coastal/deep-sea
",-,-
56,2025-2026,Jan,BIHAR,Agriculture,"Loggers and wood cutters
",529.1799999999999,-
57,2025-2026,Jan,BIHAR,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",376.82,@
58,2025-2026,Jan,BIHAR,Agriculture,"Packaging labourers, agriculture
",338.89,285
59,2025-2026,Jan,BIHAR,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",383.68,300
60,2025-2026,Jan,BIHAR,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",386.91,282.14
61,2024-2025,Jan,BIHAR,Agriculture,"Fishermen-coastal/deep-sea
",-,-
62,2024-2025,Jan,BIHAR,Agriculture,"Loggers and wood cutters
",485.46,-
63,2024-2025,Jan,BIHAR,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",310.66,301.67
64,2024-2025,Jan,BIHAR,Agriculture,"Packaging labourers, agriculture
",332.69,323.33
65,2024-2025,Jan,BIHAR,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",370.81,332.83
66,2024-2025,Jan,BIHAR,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",391.36,@
67,2024-2025,Jan,BIHAR,Agriculture,"Ploughing/Tilling workers",418.98,-
68,2024-2025,Jan,BIHAR,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",403.96,342.14
69,2024-2025,Jan,BIHAR,Agriculture,"Harvesting/Winnowing/Threshing workers
",387.86,343.34
70,2024-2025,Jan,BIHAR,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",360.90,@
71,2024-2025,Jan,BIHAR,Agriculture,"Horticulture workers (including nursery growers)
",301.17,264.52
72,2024-2025,Jan,BIHAR,Agriculture,"Fishermen-inland
",365.33,-
73,2024-2025,Jan,GUJARAT,Agriculture,"Ploughing/Tilling workers",353.62,288.00
74,2024-2025,Jan,GUJARAT,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",313.33,303.10
75,2024-2025,Jan,GUJARAT,Agriculture,"Harvesting/Winnowing/Threshing workers
",316.67,312.33
76,2024-2025,Jan,GUJARAT,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",308.00,306.00
77,2024-2025,Jan,GUJARAT,Agriculture,"Horticulture workers (including nursery growers)
",231.43,235.00
78,2024-2025,Jan,GUJARAT,Agriculture,"Fishermen-inland
",@,-
79,2024-2025,Jan,GUJARAT,Agriculture,"Fishermen-coastal/deep-sea
",-,-
80,2024-2025,Jan,GUJARAT,Agriculture,"Loggers and wood cutters
",385.77,@
81,2024-2025,Jan,GUJARAT,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",269.55,@
82,2024-2025,Jan,GUJARAT,Agriculture,"Packaging labourers, agriculture
",261.43,@
83,2024-2025,Jan,GUJARAT,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",292.37,291.47
84,2024-2025,Jan,GUJARAT,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",290.00,-
85,2025-2026,Jan,GUJARAT,Agriculture,"Ploughing/Tilling workers",408.78,374.17
86,2025-2026,Jan,GUJARAT,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",343.5,335.59
87,2025-2026,Jan,GUJARAT,Agriculture,"Harvesting/Winnowing/Threshing workers
",346.04,335.02
88,2025-2026,Jan,GUJARAT,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",344.77,332.07
89,2025-2026,Jan,GUJARAT,Agriculture,"Horticulture workers (including nursery growers)
",294.29,292
90,2025-2026,Jan,GUJARAT,Agriculture,"Fishermen-inland
",@,@
91,2025-2026,Jan,GUJARAT,Agriculture,"Fishermen-coastal/deep-sea
",-,-
92,2025-2026,Jan,GUJARAT,Agriculture,"Loggers and wood cutters
",419.25,368.57
93,2025-2026,Jan,GUJARAT,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",330.63,289.26
94,2025-2026,Jan,GUJARAT,Agriculture,"Packaging labourers, agriculture
",358.24,348.33
95,2025-2026,Jan,GUJARAT,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",331.67,297.63
96,2025-2026,Jan,GUJARAT,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",358.97,327.22
97,2025-2026,Jan,HARYANA,Agriculture,"Ploughing/Tilling workers",598.76,@
98,2025-2026,Jan,HARYANA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",614.48,542.5
99,2025-2026,Jan,HARYANA,Agriculture,"Harvesting/Winnowing/Threshing workers
",564.48,434.4
100,2025-2026,Jan,HARYANA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",520,520
101,2025-2026,Jan,HARYANA,Agriculture,"Horticulture workers (including nursery growers)
",@,@
102,2025-2026,Jan,HARYANA,Agriculture,"Fishermen-inland
",-,-
103,2025-2026,Jan,HARYANA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
104,2025-2026,Jan,HARYANA,Agriculture,"Loggers and wood cutters
",513.75,-
105,2025-2026,Jan,HARYANA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",430.31,394.44
106,2025-2026,Jan,HARYANA,Agriculture,"Packaging labourers, agriculture
",584,605.71
107,2025-2026,Jan,HARYANA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",589.24,502.67
108,2025-2026,Jan,HARYANA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",582.1,@
109,2024-2025,Jan,HARYANA,Agriculture,"Fishermen-inland
",-,-
110,2024-2025,Jan,HARYANA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
111,2024-2025,Jan,HARYANA,Agriculture,"Loggers and wood cutters
",514.00,-
112,2024-2025,Jan,HARYANA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",490.00,@
113,2024-2025,Jan,HARYANA,Agriculture,"Packaging labourers, agriculture
",@,@
114,2024-2025,Jan,HARYANA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",509.00,473.83
115,2024-2025,Jan,HARYANA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",519.75,-
116,2024-2025,Jan,HARYANA,Agriculture,"Ploughing/Tilling workers",508.50,@
117,2024-2025,Jan,HARYANA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",504.83,465.82
118,2024-2025,Jan,HARYANA,Agriculture,"Harvesting/Winnowing/Threshing workers
",519.82,487.80
119,2024-2025,Jan,HARYANA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",518.33,508.33
120,2024-2025,Jan,HARYANA,Agriculture,"Horticulture workers (including nursery growers)
",@,@
121,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Ploughing/Tilling workers",618.57,-
122,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",513.33,@
123,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",528.00,@
124,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
125,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",506.00,@
126,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Fishermen-inland
",-,-
127,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
128,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Loggers and wood cutters
",578.00,-
129,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
130,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Packaging labourers, agriculture
",-,-
131,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",516.00,@
132,2024-2025,Jan,"HIMACHAL PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",@,-
133,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Ploughing/Tilling workers",766.67,@
134,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",580,568.89
135,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",532.5,505
136,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
137,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",538,538
138,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Fishermen-inland
",@,-
139,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
140,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Loggers and wood cutters
",648.75,@
141,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
142,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
143,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",532.73,540
144,2025-2026,Jan,"HIMACHAL PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",691.67,@
145,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Ploughing/Tilling workers",749.55,-
146,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",672,@
147,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Harvesting/Winnowing/Threshing workers
",676.5,640
148,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",692.86,-
149,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Horticulture workers (including nursery growers)
",660.77,-
150,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Fishermen-inland
",-,-
151,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
152,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Loggers and wood cutters
",770.5,-
153,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",464.05,-
154,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Packaging labourers, agriculture
",718.1799999999999,-
155,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",591.67,-
156,2025-2026,Jan,"JAMMU & KASHMIR
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",687.5,-
157,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Fishermen-inland
",-,-
158,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
159,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Loggers and wood cutters
",637.00,-
160,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",570.00,-
161,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Packaging labourers, agriculture
",668.57,-
162,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",594.00,@
163,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",648.00,-
164,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Ploughing/Tilling workers",721.82,-
165,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",633.68,@
166,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Harvesting/Winnowing/Threshing workers
",642.31,@
167,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,-
168,2024-2025,Jan,"JAMMU & KASHMIR
",Agriculture,"Horticulture workers (including nursery growers)
",630.00,-
169,2024-2025,Jan,KARNATAKA,Agriculture,"Ploughing/Tilling workers",508.16,266.67
170,2024-2025,Jan,KARNATAKA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",464.00,339.64
171,2024-2025,Jan,KARNATAKA,Agriculture,"Harvesting/Winnowing/Threshing workers
",461.33,322.67
172,2024-2025,Jan,KARNATAKA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",438.75,297.86
173,2024-2025,Jan,KARNATAKA,Agriculture,"Horticulture workers (including nursery growers)
",490.00,362.00
174,2024-2025,Jan,KARNATAKA,Agriculture,"Fishermen-inland
",@,-
175,2024-2025,Jan,KARNATAKA,Agriculture,"Fishermen-coastal/deep-sea
",@,-
176,2024-2025,Jan,KARNATAKA,Agriculture,"Loggers and wood cutters
",540.00,-
177,2024-2025,Jan,KARNATAKA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",427.00,344.29
178,2024-2025,Jan,KARNATAKA,Agriculture,"Packaging labourers, agriculture
",462.50,@
179,2024-2025,Jan,KARNATAKA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",461.85,331.00
180,2024-2025,Jan,KARNATAKA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",440.77,-
181,2025-2026,Jan,KARNATAKA,Agriculture,"Ploughing/Tilling workers",624.21,@
182,2025-2026,Jan,KARNATAKA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",569.58,425.81
183,2025-2026,Jan,KARNATAKA,Agriculture,"Harvesting/Winnowing/Threshing workers
",552.98,412.98
184,2025-2026,Jan,KARNATAKA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",486.43,354
185,2025-2026,Jan,KARNATAKA,Agriculture,"Horticulture workers (including nursery growers)
",546.3,350.91
186,2025-2026,Jan,KARNATAKA,Agriculture,"Fishermen-inland
",@,-
187,2025-2026,Jan,KARNATAKA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
188,2025-2026,Jan,KARNATAKA,Agriculture,"Loggers and wood cutters
",621.98,-
189,2025-2026,Jan,KARNATAKA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",536.92,@
190,2025-2026,Jan,KARNATAKA,Agriculture,"Packaging labourers, agriculture
",508.75,402
191,2025-2026,Jan,KARNATAKA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",521.65,400.88
192,2025-2026,Jan,KARNATAKA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",489.06,423.33
193,2025-2026,Jan,KERALA,Agriculture,"Ploughing/Tilling workers",1033.33,-
194,2025-2026,Jan,KERALA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",871.15,645.83
195,2025-2026,Jan,KERALA,Agriculture,"Harvesting/Winnowing/Threshing workers
",870.98,723.27
196,2025-2026,Jan,KERALA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,@
197,2025-2026,Jan,KERALA,Agriculture,"Horticulture workers (including nursery growers)
",775,@
198,2025-2026,Jan,KERALA,Agriculture,"Fishermen-inland
",-,-
199,2025-2026,Jan,KERALA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
200,2025-2026,Jan,KERALA,Agriculture,"Loggers and wood cutters
",1055.56,-
201,2025-2026,Jan,KERALA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",695.83,-
202,2025-2026,Jan,KERALA,Agriculture,"Packaging labourers, agriculture
",902.5,693.75
203,2025-2026,Jan,KERALA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",862.8099999999999,677.27
204,2025-2026,Jan,KERALA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",841.76,@
205,2024-2025,Jan,KERALA,Agriculture,"Fishermen-inland
",-,-
206,2024-2025,Jan,KERALA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
207,2024-2025,Jan,KERALA,Agriculture,"Loggers and wood cutters
",1124.40,-
208,2024-2025,Jan,KERALA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",672.19,-
209,2024-2025,Jan,KERALA,Agriculture,"Packaging labourers, agriculture
",-,-
210,2024-2025,Jan,KERALA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",880.36,632.50
211,2024-2025,Jan,KERALA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",741.00,-
212,2024-2025,Jan,KERALA,Agriculture,"Ploughing/Tilling workers",934.92,@
213,2024-2025,Jan,KERALA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",947.41,661.92
214,2024-2025,Jan,KERALA,Agriculture,"Harvesting/Winnowing/Threshing workers
",810.00,674.58
215,2024-2025,Jan,KERALA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,@
216,2024-2025,Jan,KERALA,Agriculture,"Horticulture workers (including nursery growers)
",@,@
217,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Ploughing/Tilling workers",312.54,244.29
218,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",284.32,256.85
219,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",294.39,259.54
220,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",281.82,256.36
221,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",255.00,227.00
222,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Fishermen-inland
",@,-
223,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
224,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Loggers and wood cutters
",263.81,@
225,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",230.48,202.50
226,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Packaging labourers, agriculture
",225.88,211.25
227,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",259.73,226.51
228,2024-2025,Jan,"MADHYA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",284.06,240.00
229,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Ploughing/Tilling workers",376.5,300
230,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",361.45,303.64
231,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",358.21,306.67
232,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",392.08,351.04
233,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",300,285.71
234,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Fishermen-inland
",-,-
235,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
236,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Loggers and wood cutters
",417.53,290
237,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",270.36,242.22
238,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Packaging labourers, agriculture
",@,@
239,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",332.1,288.33
240,2025-2026,Jan,"MADHYA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",374.47,@
241,2025-2026,Jan,MAHARASHTRA,Agriculture,"Ploughing/Tilling workers",429.07,@
242,2025-2026,Jan,MAHARASHTRA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",405.81,308.14
243,2025-2026,Jan,MAHARASHTRA,Agriculture,"Harvesting/Winnowing/Threshing workers
",423.68,323.68
244,2025-2026,Jan,MAHARASHTRA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",360,310.87
245,2025-2026,Jan,MAHARASHTRA,Agriculture,"Horticulture workers (including nursery growers)
",443.95,323.49
246,2025-2026,Jan,MAHARASHTRA,Agriculture,"Fishermen-inland
",523.8099999999999,@
247,2025-2026,Jan,MAHARASHTRA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
248,2025-2026,Jan,MAHARASHTRA,Agriculture,"Loggers and wood cutters
",499.09,@
249,2025-2026,Jan,MAHARASHTRA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",328.15,320.83
250,2025-2026,Jan,MAHARASHTRA,Agriculture,"Packaging labourers, agriculture
",386.36,310
251,2025-2026,Jan,MAHARASHTRA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",371.15,259.47
252,2025-2026,Jan,MAHARASHTRA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",458.06,344
253,2024-2025,Jan,MAHARASHTRA,Agriculture,"Fishermen-inland
",@,-
254,2024-2025,Jan,MAHARASHTRA,Agriculture,"Fishermen-coastal/deep-sea
",@,@
255,2024-2025,Jan,MAHARASHTRA,Agriculture,"Loggers and wood cutters
",466.78,370.67
